Instance,LB,ILB,TLB,UP,IUP,TUP,ITER,TIME,OPTG,OPTS
input/Spd_RF2_140_175_2667.txt, 10.68333, 1, 0, 31, 6, 0, 182912, 10, 0, 0
input/Spd_RF2_140_175_2675.txt, 9.63810, 1, 0, 28, 154903, 8, 181551, 10, 0, 0
input/Spd_RF2_140_175_2683.txt, 10.78810, 1, 0, 33, 6049, 0, 178530, 10, 0, 0
input/Spd_RF2_140_193_2691.txt, 5.94497, 3, 0, 27, 12, 0, 159987, 10, 0, 0
input/Spd_RF2_140_193_2699.txt, 5.90662, 3, 0, 24, 11310, 0, 143415, 10, 0, 0
input/Spd_RF2_140_193_2707.txt, 6.28333, 1, 0, 26, 5003, 0, 163143, 10, 0, 0
input/Spd_RF2_140_193_2715.txt, 6.12834, 3, 0, 31, 10, 0, 10413, 10, 0, 0
input/Spd_RF2_140_193_2723.txt, 5.66133, 8, 0, 27, 8803, 0, 161528, 10, 0, 0
input/Spd_RF2_140_211_2731.txt, 3.99023, 19, 0, 25, 52667, 3, 146094, 10, 0, 0
input/Spd_RF2_140_211_2739.txt, 4.38718, 12, 0, 28, 46709, 3, 131009, 10, 0, 0
input/Spd_RF2_140_211_2747.txt, 3.37385, 11, 0, 26, 11, 0, 147796, 10, 0, 0
input/Spd_RF2_140_211_2755.txt, 3.48882, 20, 0, 21, 21, 0, 148175, 10, 0, 0
input/Spd_RF2_140_211_2763.txt, 3.14843, 8, 0, 23, 74476, 5, 147147, 10, 0, 0
input/Spd_RF2_140_229_2771.txt, 1.41209, 24, 0, 22, 18508, 1, 132401, 10, 0, 0
input/Spd_RF2_140_229_2779.txt, 1.37293, 20, 0, 20, 75748, 5, 136930, 10, 0, 0
input/Spd_RF2_140_229_2787.txt, 2.86125, 30, 0, 18, 3860, 0, 140194, 10, 0, 0
input/Spd_RF2_140_229_2795.txt, 2.97723, 26, 0, 23, 103735, 7, 134416, 10, 0, 0
input/Spd_RF2_140_229_2803.txt, 2.55704, 26, 0, 24, 71333, 5, 134774, 10, 0, 0
input/Spd_RF2_160_179_3011.txt, 17.96667, 1, 0, 42, 2, 0, 177860, 10, 0, 0
