Instance,LB,ILB,TLB,UP,IUP,TUP,ITER,TIME,OPTG,OPTS
input/Spd_RF2_140_175_2667.txt, 20.71412, 129, 0, 28, 1755, 0, 185715, 10, 0, 0
input/Spd_RF2_140_175_2675.txt, 20.16703, 704, 0, 29, 105, 0, 181268, 10, 0, 0
input/Spd_RF2_140_175_2683.txt, 23.42862, 196, 0, 31, 11, 0, 184568, 10, 0, 0
input/Spd_RF2_140_193_2691.txt, 13.70756, 103, 0, 23, 24, 0, 163779, 10, 0, 0
input/Spd_RF2_140_193_2699.txt, 10.83891, 17, 0, 23, 55716, 3, 166297, 10, 0, 0
input/Spd_RF2_140_193_2707.txt, 14.73701, 145, 0, 23, 42517, 2, 147131, 10, 0, 0
input/Spd_RF2_140_193_2715.txt, 12.49734, 39, 0, 28, 4415, 0, 162503, 10, 0, 0
input/Spd_RF2_140_193_2723.txt, 10.54087, 18, 0, 26, 31, 0, 148485, 10, 0, 0
input/Spd_RF2_140_211_2731.txt, 10.70023, 79, 0, 22, 1521, 0, 149672, 10, 0, 0
input/Spd_RF2_140_211_2739.txt, 10.99149, 43, 0, 26, 106411, 7, 147205, 10, 0, 0
input/Spd_RF2_140_211_2747.txt, 10.30852, 108, 0, 25, 23, 0, 148308, 10, 0, 0
input/Spd_RF2_140_211_2755.txt, 11.21714, 128, 0, 21, 37554, 2, 147300, 10, 0, 0
input/Spd_RF2_140_211_2763.txt, 9.00305, 41867, 2, 23, 37, 0, 145701, 10, 0, 0
input/Spd_RF2_140_229_2771.txt, 3.65866, 48, 0, 21, 14, 0, 133009, 10, 0, 0
input/Spd_RF2_140_229_2779.txt, 2.80667, 28, 0, 19, 66396, 4, 136395, 10, 0, 0
input/Spd_RF2_140_229_2787.txt, 4.93837, 103, 0, 17, 4967, 0, 143747, 10, 0, 0
input/Spd_RF2_140_229_2795.txt, 8.63805, 74, 0, 22, 135, 0, 137049, 10, 0, 0
input/Spd_RF2_140_229_2803.txt, 5.79789, 43, 0, 24, 3160, 0, 136728, 10, 0, 0
input/Spd_RF2_160_179_3011.txt, 36.44611, 630, 0, 41, 37, 0, 183833, 10, 0, 0
input/Spd_RF2_160_179_3019.txt, 35.51510, 93, 0, 41, 11, 0, 180641, 10, 0, 0
input/Spd_RF2_160_179_3027.txt, 35.55967, 53, 0, 44, 60, 0, 179841, 10, 0, 0
input/Spd_RF2_160_179_3035.txt, 35.81178, 136, 0, 42, 24, 0, 183690, 10, 0, 0
input/Spd_RF2_160_179_3043.txt, 37.20000, 4277, 0, 41, 69, 0, 182663, 10, 0, 0
input/Spd_RF2_160_198_3051.txt, 29.15270, 436, 0, 33, 24768, 1, 158909, 10, 0, 0
input/Spd_RF2_160_198_3059.txt, 22.75995, 27, 0, 35, 37, 0, 155598, 10, 0, 0
input/Spd_RF2_160_198_3067.txt, 27.48219, 185, 0, 35, 194, 0, 162835, 10, 0, 0
input/Spd_RF2_160_198_3075.txt, 23.82743, 38, 0, 35, 31, 0, 166861, 10, 0, 0
input/Spd_RF2_160_198_3083.txt, 26.18740, 107269, 6, 35, 1027, 0, 160452, 10, 0, 0
input/Spd_RF2_160_218_3091.txt, 16.03065, 84, 0, 29, 71069, 5, 142161, 10, 0, 0
input/Spd_RF2_160_218_3099.txt, 20.41360, 137522, 9, 32, 104, 0, 144920, 10, 0, 0
input/Spd_RF2_160_218_3107.txt, 14.42463, 72, 0, 28, 1831, 0, 143343, 10, 0, 0
input/Spd_RF2_160_218_3115.txt, 18.37080, 82, 0, 29, 66940, 4, 139153, 10, 0, 0
input/Spd_RF2_160_218_3123.txt, 17.56980, 56, 0, 31, 128758, 9, 139048, 10, 0, 0
input/Spd_RF2_160_237_3131.txt, 15.74094, 113, 0, 28, 70411, 5, 131198, 10, 0, 0
input/Spd_RF2_160_237_3139.txt, 9.22980, 21, 0, 29, 26775, 2, 128508, 10, 0, 0
input/Spd_RF2_160_237_3147.txt, 9.00587, 34, 0, 28, 3777, 0, 132536, 10, 0, 0
input/Spd_RF2_160_237_3155.txt, 9.03617, 32, 0, 27, 83906, 6, 128194, 10, 0, 0
input/Spd_RF2_160_237_3163.txt, 14.18626, 56, 0, 26, 64999, 4, 130677, 10, 0, 0
input/Spd_RF2_160_257_3171.txt, 10.09735, 72, 0, 26, 44, 0, 116470, 10, 0, 0
input/Spd_RF2_160_257_3179.txt, 9.61388, 50, 0, 27, 108983, 9, 117383, 10, 0, 0
input/Spd_RF2_160_257_3187.txt, 3.63350, 22, 0, 28, 17931, 1, 120103, 10, 0, 0
input/Spd_RF2_160_257_3195.txt, 7.40597, 37, 0, 25, 82801, 6, 122654, 10, 0, 0
input/Spd_RF2_160_257_3203.txt, 7.95585, 114146, 9, 25, 61161, 4, 122177, 10, 0, 0
input/Spd_RF2_180_200_3411.txt, 44.15894, 129112, 8, 48, 205, 0, 155805, 10, 0, 0
input/Spd_RF2_180_200_3419.txt, 42.42741, 65, 0, 49, 35, 0, 155335, 10, 0, 0
input/Spd_RF2_180_200_3427.txt, 41.37508, 98, 0, 48, 38, 0, 142400, 10, 0, 0
input/Spd_RF2_180_200_3435.txt, 42.60742, 440, 0, 47, 328, 0, 154870, 10, 0, 0
