Instance,LB,ILB,TLB,UP,IUP,TUP,ITER,TIME,OPTG,OPTS
input/Spd_RF2_140_175_2675.txt, 9.63810, 1, 0, 27, 3, 0, 26969, 10, 0, 0
input/Spd_RF2_140_175_2683.txt, 10.78810, 1, 0, 29, 1245, 0, 24878, 10, 0, 0
input/Spd_RF2_140_193_2691.txt, 5.96095, 3, 0, 20, 5113, 2, 20949, 10, 0, 0
input/Spd_RF2_140_193_2699.txt, 5.88675, 3, 0, 22, 569, 0, 35489, 10, 0, 0
input/Spd_RF2_140_193_2707.txt, 6.28333, 1, 0, 21, 9, 0, 16943, 10, 0, 0
input/Spd_RF2_140_193_2715.txt, 6.10362, 3, 0, 24, 1, 0, 19002, 10, 0, 0
input/Spd_RF2_140_193_2723.txt, 5.82100, 19, 0, 21, 1071, 0, 20026, 10, 0, 0
input/Spd_RF2_140_211_2731.txt, 4.28967, 32, 0, 17, 5682, 3, 18298, 10, 0, 0
input/Spd_RF2_140_211_2739.txt, 4.67549, 14, 0, 21, 11794, 7, 15352, 10, 0, 0
input/Spd_RF2_140_211_2747.txt, 3.54295, 19, 0, 19, 21, 0, 10888, 10, 0, 0
input/Spd_RF2_140_211_2755.txt, 3.63817, 26, 0, 17, 7945, 7, 10970, 10, 0, 0
input/Spd_RF2_140_211_2763.txt, 3.36137, 18, 0, 18, 11424, 8, 12847, 10, 0, 0
input/Spd_RF2_140_229_2771.txt, 1.55140, 33, 0, 14, 3465, 3, 9025, 10, 0, 0
input/Spd_RF2_140_229_2779.txt, 1.53419, 29, 0, 14, 3216, 3, 9310, 10, 0, 0
input/Spd_RF2_140_229_2787.txt, 3.16879, 45, 0, 14, 1022, 0, 24229, 10, 0, 0
input/Spd_RF2_140_229_2795.txt, 3.25273, 36, 0, 15, 3804, 2, 14891, 10, 0, 0
input/Spd_RF2_140_229_2803.txt, 3.00938, 41, 0, 16, 0, 0, 13024, 10, 0, 0
input/Spd_RF2_160_179_3011.txt, 17.96667, 1, 0, 40, 1, 0, 56958, 10, 0, 0
input/Spd_RF2_160_179_3019.txt, 18.50000, 1, 0, 41, 4, 0, 65997, 10, 0, 0
input/Spd_RF2_160_179_3027.txt, 18.13333, 1, 0, 42, 417, 0, 50373, 10, 0, 0
input/Spd_RF2_160_179_3035.txt, 18.30000, 1, 0, 40, 6587, 1, 43328, 10, 0, 0
input/Spd_RF2_160_179_3043.txt, 18.13333, 1, 0, 40, 363, 0, 35891, 10, 0, 0
input/Spd_RF2_160_198_3051.txt, 13.25119, 1, 0, 33, 112, 0, 27500, 10, 0, 0
input/Spd_RF2_160_198_3059.txt, 11.70000, 1, 0, 31, 4153, 1, 27866, 10, 0, 0
input/Spd_RF2_160_198_3067.txt, 12.71667, 1, 0, 32, 38, 0, 26954, 10, 0, 0
input/Spd_RF2_160_198_3075.txt, 12.51667, 1, 0, 33, 23, 0, 23380, 10, 0, 0
input/Spd_RF2_160_198_3083.txt, 13.18810, 1, 0, 33, 1116, 0, 30662, 10, 0, 0
input/Spd_RF2_160_218_3091.txt, 6.92143, 1, 0, 26, 25, 0, 13747, 10, 0, 0
input/Spd_RF2_160_218_3099.txt, 8.29286, 1, 0, 28, 1807, 1, 15333, 10, 0, 0
input/Spd_RF2_160_218_3107.txt, 6.43810, 1, 0, 25, 2607, 1, 23452, 10, 0, 0
input/Spd_RF2_160_218_3115.txt, 6.95238, 1, 0, 26, 8261, 7, 10803, 10, 0, 0
input/Spd_RF2_160_218_3123.txt, 7.73439, 8, 0, 28, 10, 0, 11591, 10, 0, 0
input/Spd_RF2_160_237_3131.txt, 6.14244, 23, 0, 25, 27, 0, 15355, 10, 0, 0
input/Spd_RF2_160_237_3139.txt, 4.36149, 16, 0, 22, 3725, 3, 11322, 10, 0, 0
input/Spd_RF2_160_237_3147.txt, 4.86334, 25, 0, 22, 1043, 0, 25364, 10, 0, 0
input/Spd_RF2_160_237_3155.txt, 3.32817, 20, 0, 22, 1424, 1, 9667, 10, 0, 0
input/Spd_RF2_160_237_3163.txt, 4.81662, 23, 0, 21, 9207, 7, 11858, 10, 0, 0
input/Spd_RF2_160_257_3171.txt, 3.85229, 35, 0, 20, 22, 0, 13655, 10, 0, 0
input/Spd_RF2_160_257_3179.txt, 4.49528, 33, 0, 19, 42, 0, 10793, 10, 0, 0
input/Spd_RF2_160_257_3187.txt, 1.94520, 24, 0, 18, 3426, 4, 8123, 10, 0, 0
input/Spd_RF2_160_257_3195.txt, 3.76226, 34, 0, 18, 10311, 7, 14061, 10, 0, 0
input/Spd_RF2_160_257_3203.txt, 2.15836, 31, 0, 18, 15, 0, 9838, 10, 0, 0
input/Spd_RF2_180_200_3411.txt, 21.56667, 1, 0, 48, 6, 0, 32362, 10, 0, 0
input/Spd_RF2_180_200_3419.txt, 21.40000, 1, 0, 48, 108, 0, 32208, 10, 0, 0
input/Spd_RF2_180_200_3427.txt, 21.85000, 1, 0, 48, 15, 0, 38049, 10, 0, 0
input/Spd_RF2_180_200_3435.txt, 21.73333, 1, 0, 47, 1, 0, 36091, 10, 0, 0
input/Spd_RF2_180_200_3443.txt, 20.65000, 1, 0, 45, 2, 0, 27357, 10, 0, 0
input/Spd_RF2_180_221_3451.txt, 13.45000, 1, 0, 36, 14, 0, 27596, 10, 0, 0
input/Spd_RF2_180_221_3459.txt, 15.11667, 1, 0, 40, 2, 0, 31664, 10, 0, 0
input/Spd_RF2_180_221_3467.txt, 14.75000, 1, 0, 37, 2, 0, 18859, 10, 0, 0
input/Spd_RF2_180_221_3475.txt, 14.45000, 1, 0, 39, 1, 0, 35927, 10, 0, 0
input/Spd_RF2_180_221_3483.txt, 14.76667, 1, 0, 39, 170, 0, 20717, 10, 0, 0
input/Spd_RF2_180_242_3491.txt, 8.95064, 3, 0, 31, 8281, 3, 24973, 10, 0, 0
input/Spd_RF2_180_242_3499.txt, 9.88326, 3, 0, 29, 4865, 2, 23672, 10, 0, 0
input/Spd_RF2_180_242_3507.txt, 8.36190, 1, 0, 30, 6664, 5, 12691, 10, 0, 0
input/Spd_RF2_180_242_3515.txt, 8.86429, 1, 0, 29, 25, 0, 10464, 10, 0, 0
input/Spd_RF2_180_242_3523.txt, 8.41282, 8, 0, 29, 1, 0, 8626, 10, 0, 0
input/Spd_RF2_180_263_3531.txt, 4.70131, 22, 0, 25, 24, 0, 13862, 10, 0, 0
input/Spd_RF2_180_263_3539.txt, 5.30041, 23, 0, 25, 15, 0, 9824, 10, 0, 0
input/Spd_RF2_180_263_3547.txt, 4.52110, 21, 0, 25, 12, 0, 12291, 10, 0, 0
input/Spd_RF2_180_263_3555.txt, 5.10414, 16, 0, 26, 25, 0, 9660, 10, 0, 0
input/Spd_RF2_180_263_3563.txt, 6.53810, 1, 0, 27, 1680, 1, 8640, 10, 0, 0
input/Spd_RF2_180_284_3571.txt, 2.77905, 26, 0, 21, 36, 0, 9308, 10, 0, 0
input/Spd_RF2_180_284_3579.txt, 4.41420, 33, 0, 24, 4010, 3, 12505, 10, 0, 0
input/Spd_RF2_180_284_3587.txt, 2.58820, 26, 0, 23, 18, 0, 10421, 10, 0, 0
input/Spd_RF2_180_284_3595.txt, 3.41793, 29, 0, 24, 258, 0, 8583, 10, 0, 0
input/Spd_RF2_180_284_3603.txt, 3.99026, 21, 0, 26, 579, 1, 5634, 10, 0, 0
input/Spd_RF2_200_222_3811.txt, 24.15000, 1, 0, 51, 1280, 0, 26450, 10, 0, 0
input/Spd_RF2_200_222_3819.txt, 23.88333, 1, 0, 51, 2, 0, 28925, 10, 0, 0
input/Spd_RF2_200_222_3827.txt, 23.68333, 1, 0, 51, 995, 2, 16041, 10, 0, 0
input/Spd_RF2_200_222_3835.txt, 23.58095, 1, 0, 51, 325, 0, 20015, 10, 0, 0
input/Spd_RF2_200_222_3843.txt, 24.15000, 1, 0, 53, 0, 0, 34586, 10, 0, 0
input/Spd_RF2_200_244_3851.txt, 17.03333, 1, 0, 41, 75, 0, 24104, 10, 0, 0
input/Spd_RF2_200_244_3859.txt, 17.95000, 1, 0, 45, 10, 0, 18433, 10, 0, 0
input/Spd_RF2_200_244_3867.txt, 16.52500, 1, 0, 40, 16962, 9, 18234, 10, 0, 0
input/Spd_RF2_200_244_3875.txt, 16.43095, 1, 0, 40, 18, 0, 17731, 10, 0, 0
input/Spd_RF2_200_244_3883.txt, 16.45476, 1, 0, 41, 0, 0, 20111, 10, 0, 0
input/Spd_RF2_200_267_3891.txt, 10.36686, 5, 0, 37, 17, 0, 11742, 10, 0, 0
input/Spd_RF2_200_267_3899.txt, 11.06667, 1, 0, 34, 11926, 8, 14456, 10, 0, 0
input/Spd_RF2_200_267_3907.txt, 9.98333, 1, 0, 34, 850, 0, 11028, 10, 0, 0
input/Spd_RF2_200_267_3915.txt, 11.04762, 1, 0, 34, 7350, 5, 12646, 10, 0, 0
input/Spd_RF2_200_267_3923.txt, 10.92857, 1, 0, 36, 3, 0, 11342, 10, 0, 0
input/Spd_RF2_200_289_3931.txt, 5.93699, 13, 0, 28, 2, 0, 6452, 10, 0, 0
input/Spd_RF2_200_289_3939.txt, 6.66204, 15, 0, 31, 4862, 5, 8333, 10, 0, 0
input/Spd_RF2_200_289_3947.txt, 6.20333, 11, 0, 31, 918, 0, 11466, 10, 0, 0
input/Spd_RF2_200_289_3955.txt, 7.46856, 14, 0, 32, 5707, 8, 7046, 10, 0, 0
input/Spd_RF2_200_289_3963.txt, 8.53397, 24, 0, 30, 5042, 4, 12173, 10, 0, 0
input/Spd_RF2_200_312_3971.txt, 5.48881, 39, 0, 26, 3895, 3, 10360, 10, 0, 0
input/Spd_RF2_200_312_3979.txt, 3.13440, 20, 0, 25, 4861, 8, 5609, 10, 0, 0
input/Spd_RF2_200_312_3987.txt, 5.40135, 25, 0, 28, 25, 0, 8269, 10, 0, 0
input/Spd_RF2_200_312_3995.txt, 3.80166, 24, 0, 25, 36, 0, 7074, 10, 0, 0
input/Spd_RF2_200_312_4003.txt, 4.33883, 24, 0, 28, 1495, 1, 8379, 10, 0, 0
input/Spd_RF2_20_27_211.txt, 0.30045, 7, 0, 1, 138, 0, 242700, 10, 0, 0
input/Spd_RF2_20_27_219.txt, 0.50000, 1, 0, 2, 0, 0, 287649, 10, 0, 0
input/Spd_RF2_20_27_227.txt, 0.55116, 52, 0, 2, 15, 0, 492455, 10, 0, 0
input/Spd_RF2_20_27_235.txt, 0.75112, 13, 0, 3, 7, 0, 627990, 10, 0, 0
input/Spd_RF2_20_27_243.txt, 0.99830, 24, 0, 4, 1, 0, 133450, 10, 0, 0
input/Spd_RF2_20_34_251.txt, 0.33474, 563, 0, 1, 10, 0, 351633, 10, 0, 0
input/Spd_RF2_20_34_259.txt, 0.13204, 240, 0, 1, 0, 0, 228089, 10, 0, 0
input/Spd_RF2_20_34_267.txt, 0.31146, 270, 0, 1, 43, 0, 456161, 10, 0, 0
input/Spd_RF2_20_34_275.txt, 0.01251, 32, 0, 2, 1, 0, 320449, 10, 0, 0
